,targetId,hasSafetyEvent,maxClinicalTrialPhase,tissueSpecificity,tissueDistribution,uniqueTherapeuticAreas,uniqueDiseases,maxEffectiveSampleSize,earliestPublicationDate,approvedSymbol,lofConstraint,misConstraint,synConstraint,pathwayCount
0,ENSG00000004487,0,0.5,-1.0,-1.0,2,2,235397.69820205137,2023-01-18,KDM1A,0.362,3.796,-0.028337,8
1,ENSG00000005339,0,0.5,-1.0,-1.0,2,3,645988.1975077938,2015-03-16,CREBBP,0.899,4.7763,-2.9844,53
2,ENSG00000006116,0,1.0,0.75,0.5,0,0,0.01,2025-01-01,CACNG3,0.704,3.3403,-0.14457,2
3,ENSG00000017427,1,0.5,0.5,0.0,5,9,143284.77790855977,2020-05-13,IGF1,0.325,2.1757,-0.070415,6
4,ENSG00000019991,1,0.75,1.0,0.0,2,2,521818.7070055739,2022-11-23,HGF,0.52900004,1.9628,0.62406,18
5,ENSG00000023445,0,0.5,0.5,0.0,0,0,0.01,2025-01-01,BIRC3,0.45700002,1.4787,0.83575,11
6,ENSG00000025434,1,0.5,-1.0,-1.0,4,5,314628.35415349517,2012-03-07,NR1H3,0.444,1.9533,0.1871,10
7,ENSG00000037280,1,1.0,-1.0,0.0,0,0,0.01,2025-01-01,FLT4,0.735,3.0272,-1.6976,3
8,ENSG00000068024,0,1.0,0.5,0.0,1,1,1173.5007132667617,2022-07-22,HDAC4,0.80799997,3.7634,-0.53352,8
9,ENSG00000069535,1,1.0,0.5,0.0,0,0,0.01,2025-01-01,MAOB,,,,1
10,ENSG00000074966,0,1.0,0.5,0.0,1,1,38092.548464040476,2019-09-01,TXK,0.15899998,1.0284,0.47805,1
11,ENSG00000075429,0,1.0,1.0,1.0,2,2,118684.63990752245,2024-07-19,CACNG5,-0.036000013,0.66211,-0.045926,0
12,ENSG00000075461,0,1.0,1.0,0.5,0,0,0.01,2025-01-01,CACNG4,0.41000003,1.6118,0.020424,5
13,ENSG00000079459,0,0.75,-1.0,-1.0,0,0,0.01,2025-01-01,FDFT1,-0.76400006,-5.832,-5.8965,3
