approvedSymbol	geneId	ID	Term	uniqueDiseases
AARS2	ENSG00000124608	R-HSA-379724;R-HSA-72766	tRNA Aminoacylation;Translation	1
ABCA1	ENSG00000165029	R-HSA-162582;R-HSA-1643685	Signal Transduction;Disease	17
ABCA4	ENSG00000198691	R-HSA-1643685	Disease	4
ABCA6	ENSG00000154262	R-HSA-74160	Gene expression (Transcription)	8
ABCB11	ENSG00000073734	R-HSA-1643685	Disease	2
ABCB4	ENSG00000005471	R-HSA-1643685	Disease	7
ABCC2	ENSG00000023839	R-HSA-9754706;R-HSA-1643685	Atorvastatin ADME;Disease	3
ABCC5	ENSG00000114770	R-HSA-9748787	Azathioprine ADME	1
ABCC6	ENSG00000091262	R-HSA-1643685	Disease	2
ABCC8	ENSG00000006071	R-HSA-1643685	Disease	5
ABCC9	ENSG00000069431	R-HSA-1643685;R-HSA-1296065	Disease;Inwardly rectifying K+ channels	1
ABCD1	ENSG00000101986	R-HSA-1643685	Disease	1
ABCD4	ENSG00000119688	R-HSA-9758890;R-HSA-1643685	Transport of RCbl within the body;Disease	1
ABCG1	ENSG00000160179	R-HSA-162582	Signal Transduction	1
ABCG2	ENSG00000118777	R-HSA-1660661	Sphingolipid de novo biosynthesis	14
ABCG5	ENSG00000138075	R-HSA-162582;R-HSA-1643685	Signal Transduction;Disease	21
ABCG8	ENSG00000143921	R-HSA-162582;R-HSA-1643685	Signal Transduction;Disease	30
ABHD12	ENSG00000100997	R-HSA-162582	Signal Transduction	1
ABHD17C	ENSG00000136379	R-HSA-162582	Signal Transduction	11
ABHD6	ENSG00000163686	R-HSA-162582	Signal Transduction	1
ABI2	ENSG00000138443	R-HSA-162582;R-HSA-168256;R-HSA-1643685;R-HSA-9006934	Signal Transduction;Immune System;Disease;Signaling by Receptor Tyrosine Kinases	1
ABL2	ENSG00000143322	R-HSA-162582;R-HSA-1280215;R-HSA-168256;R-HSA-1266738	Signal Transduction;Cytokine Signaling in Immune system;Immune System;Developmental Biology	4
ABLIM1	ENSG00000099204	R-HSA-1266738	Developmental Biology	1
ABLIM3	ENSG00000173210	R-HSA-1266738	Developmental Biology	3
ACAN	ENSG00000157766	R-HSA-1643685	Disease	18
ACAT1	ENSG00000075239	R-HSA-1643685	Disease	1
ACAT2	ENSG00000120437	R-HSA-8957322	Metabolism of steroids	1
