Term	ID	es	nes	pval	sidak	fdr	geneset_size	leading_edge	propagated_edge
Interleukin-4 and Interleukin-13 signaling	R-HSA-6785807	0.7681579767853399	3.233479386196758	0.001222921613199368	0.7608035793106516	0.28811824268866204	79	ENSG00000137265,ENSG00000096968,ENSG00000136997,ENSG00000105329,ENSG00000112715,ENSG00000113302,ENSG00000150907,ENSG00000169194,ENSG00000136634,ENSG00000136244,ENSG00000141510,ENSG00000124762,ENSG00000160712,ENSG00000110092,ENSG00000077238,ENSG00000171791,ENSG00000107485,ENSG00000069667,ENSG00000162594,ENSG00000145675,ENSG00000122691,ENSG00000130702,ENSG00000117560,ENSG00000185338,ENSG00000185499,ENSG00000168610,ENSG00000113916,ENSG00000166888,ENSG00000105397	ENSG00000211896,ENSG00000113520,ENSG00000115414,ENSG00000111704,ENSG00000172156,ENSG00000150093,ENSG00000160712,ENSG00000211891,ENSG00000090339,ENSG00000105329,ENSG00000115415,ENSG00000130702,ENSG00000170345,ENSG00000124762,ENSG00000162434,ENSG00000185338,ENSG00000164692,ENSG00000182636,ENSG00000100644,ENSG00000143384,ENSG00000108691,ENSG00000169194,ENSG00000161905,ENSG00000189221,ENSG00000166888,ENSG00000141510,ENSG00000181449,ENSG00000142208,ENSG00000115138,ENSG00000096968,ENSG00000136244,ENSG00000116329,ENSG00000168811,ENSG00000069667,ENSG00000166598,ENSG00000221869,ENSG00000012779,ENSG00000112116,ENSG00000099985,ENSG00000145675,ENSG00000140678,ENSG00000169429,ENSG00000147168,ENSG00000171552,ENSG00000171150,ENSG00000168610,ENSG00000112715,ENSG00000211892,ENSG00000007171,ENSG00000077238,ENSG00000118689,ENSG00000150782,ENSG00000112115,ENSG00000075618,ENSG00000135046,ENSG00000150907,ENSG00000185499,ENSG00000149968,ENSG00000136634,ENSG00000138685,ENSG00000122691,ENSG00000143365,ENSG00000110944,ENSG00000105639,ENSG00000117560,ENSG00000148516,ENSG00000100292,ENSG00000089685,ENSG00000143190,ENSG00000104921,ENSG00000102962,ENSG00000137193,ENSG00000171791,ENSG00000169896,ENSG00000160255,ENSG00000129988,ENSG00000170989,ENSG00000128342,ENSG00000196611,ENSG00000109971,ENSG00000171223,ENSG00000137265,ENSG00000100985,ENSG00000026025,ENSG00000124491,ENSG00000113302,ENSG00000116574,ENSG00000131724,ENSG00000110092,ENSG00000123496,ENSG00000173432,ENSG00000087245,ENSG00000115008,ENSG00000112038,ENSG00000162692,ENSG00000135218,ENSG00000028137,ENSG00000125538,ENSG00000148346,ENSG00000080824,ENSG00000136997,ENSG00000184557,ENSG00000113916,ENSG00000232810,ENSG00000162594,ENSG00000107485,ENSG00000156127,ENSG00000073756,ENSG00000102265,ENSG00000105397
TGFBR1 KD Mutants in Cancer	R-HSA-3656532	0.938031322948848	2.840540318390833	0.004503717947232033	0.9948909289851926	0.28811824268866204	5	ENSG00000166949	ENSG00000105329,ENSG00000166949,ENSG00000157077,ENSG00000106799,ENSG00000163513
SMAD2/3 Phosphorylation Motif Mutants in Cancer	R-HSA-3304356	0.938031322948848	2.840540318390833	0.004503717947232033	0.9948909289851926	0.28811824268866204	5	ENSG00000166949	ENSG00000105329,ENSG00000166949,ENSG00000157077,ENSG00000106799,ENSG00000163513
Fatty Acids bound to GPR40 (FFAR1) regulate insulin secretion	R-HSA-434316	-0.72453284275012	-2.813248173289584	0.004904378387966535	0.9968086887874518	0.28811824268866204	5	ENSG00000156052,ENSG00000149782,ENSG00000137841,ENSG00000060558	ENSG00000149782,ENSG00000182621,ENSG00000156052,ENSG00000137841,ENSG00000060558,ENSG00000126266,ENSG00000156049
SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription	R-HSA-2173796	0.889257978974086	2.7879016900236717	0.005305064002206983	0.998007027876246	0.28811824268866204	17	ENSG00000147883,ENSG00000166949,ENSG00000140564,ENSG00000101665,ENSG00000136997	ENSG00000106366,ENSG00000185591,ENSG00000170315,ENSG00000018408,ENSG00000166949,ENSG00000080839,ENSG00000112237,ENSG00000100030,ENSG00000164692,ENSG00000198176,ENSG00000221983,ENSG00000133740,ENSG00000132964,ENSG00000177426,ENSG00000143947,ENSG00000101665,ENSG00000141646,ENSG00000065978,ENSG00000175387,ENSG00000171223,ENSG00000140564,ENSG00000102882,ENSG00000136807,ENSG00000147883,ENSG00000133895,ENSG00000118707,ENSG00000136997,ENSG00000157450,ENSG00000090061,ENSG00000114126,ENSG00000116478,ENSG00000150991,ENSG00000129315,ENSG00000082258,ENSG00000100393
Regulation of MITF-M-dependent genes involved in cell cycle and proliferation	R-HSA-9825892	0.8821531112968309	2.7595256845217504	0.005788533668074525	0.9988710380300079	0.28811824268866204	13	ENSG00000147889,ENSG00000138795,ENSG00000081059,ENSG00000148737,ENSG00000124762,ENSG00000121068,ENSG00000168036,ENSG00000110092,ENSG00000187098	ENSG00000121068,ENSG00000123374,ENSG00000124762,ENSG00000110092,ENSG00000152284,ENSG00000105976,ENSG00000138795,ENSG00000148737,ENSG00000169567,ENSG00000081059,ENSG00000147889,ENSG00000116478,ENSG00000169375,ENSG00000101224,ENSG00000168036,ENSG00000187098,ENSG00000134057
RUNX3 regulates CDKN1A transcription	R-HSA-8941855	0.9747848417368243	2.7415438743445275	0.006115119334541452	0.9992310781445828	0.28811824268866204	6	ENSG00000124762,ENSG00000020633,ENSG00000141510,ENSG00000166949	ENSG00000020633,ENSG00000105329,ENSG00000166949,ENSG00000124762,ENSG00000141510,ENSG00000141646
Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex	R-HSA-75035	0.8882205400826276	2.6551060439782868	0.007928348046236877	0.9999090476792365	0.28811824268866204	5		ENSG00000175793,ENSG00000108953,ENSG00000183765,ENSG00000158402,ENSG00000164924,ENSG00000170027,ENSG00000166483,ENSG00000145386,ENSG00000128245,ENSG00000166913,ENSG00000149554,ENSG00000133101,ENSG00000170312,ENSG00000134057
Formation of the beta-catenin:TCF transactivating complex	R-HSA-201722	0.835383560957699	2.6421033131602334	0.008239291889137412	0.9999369530489126	0.28811824268866204	22	ENSG00000138795,ENSG00000081059,ENSG00000164362,ENSG00000148737,ENSG00000100393,ENSG00000168036,ENSG00000136997,ENSG00000196628	ENSG00000197061,ENSG00000286522,ENSG00000158373,ENSG00000184260,ENSG00000275126,ENSG00000129691,ENSG00000270276,ENSG00000138795,ENSG00000168148,ENSG00000270882,ENSG00000275713,ENSG00000081059,ENSG00000274750,ENSG00000197409,ENSG00000168036,ENSG00000277157,ENSG00000106829,ENSG00000273802,ENSG00000288825,ENSG00000184678,ENSG00000197837,ENSG00000152284,ENSG00000246705,ENSG00000276410,ENSG00000278637,ENSG00000274183,ENSG00000273542,ENSG00000133895,ENSG00000274290,ENSG00000278828,ENSG00000146047,ENSG00000124635,ENSG00000276368,ENSG00000116478,ENSG00000163041,ENSG00000140332,ENSG00000127616,ENSG00000203852,ENSG00000100393,ENSG00000185130,ENSG00000274641,ENSG00000196781,ENSG00000273703,ENSG00000105968,ENSG00000180573,ENSG00000116128,ENSG00000278588,ENSG00000186174,ENSG00000277224,ENSG00000134371,ENSG00000278705,ENSG00000197153,ENSG00000005339,ENSG00000233822,ENSG00000163348,ENSG00000188486,ENSG00000278463,ENSG00000197238,ENSG00000132475,ENSG00000276180,ENSG00000197903,ENSG00000158406,ENSG00000180596,ENSG00000276966,ENSG00000287080,ENSG00000277775,ENSG00000275714,ENSG00000164362,ENSG00000166477,ENSG00000196628,ENSG00000288859,ENSG00000196866,ENSG00000196367,ENSG00000148737,ENSG00000274618,ENSG00000183598,ENSG00000196890,ENSG00000136997,ENSG00000065717,ENSG00000175792,ENSG00000234289,ENSG00000275379,ENSG00000117222,ENSG00000203811,ENSG00000171016,ENSG00000273983,ENSG00000172977,ENSG00000277075
Formation of definitive endoderm	R-HSA-9823730	0.8457177472257085	2.620660764828794	0.00877595410951626	0.9999665136320544	0.28811824268866204	12	ENSG00000168036,ENSG00000125798,ENSG00000166949,ENSG00000148737	ENSG00000166949,ENSG00000185155,ENSG00000136574,ENSG00000164736,ENSG00000164458,ENSG00000266010,ENSG00000259974,ENSG00000148737,ENSG00000039068,ENSG00000133937,ENSG00000163508,ENSG00000168036,ENSG00000121966,ENSG00000141448,ENSG00000141646,ENSG00000125798
CD163 mediating an anti-inflammatory response	R-HSA-9662834	0.8768272518133265	2.61196963777308	0.009002224868980946	0.9999743573863218	0.28811824268866204	5	ENSG00000140564,ENSG00000136634	ENSG00000129667,ENSG00000177575,ENSG00000145632,ENSG00000140564,ENSG00000136634,ENSG00000151694,ENSG00000112062,ENSG00000100345
