Term	ID	es	nes	pval	sidak	fdr	geneset_size	leading_edge	propagated_edge
Fatty Acids bound to GPR40 (FFAR1) regulate insulin secretion	R-HSA-434316	-0.72453284275012	-4.9920173434098825	5.975188819284938e-07	0.0006982558874753294	0.0002317465645402805	5	GNAQ,GNA15,PLCB2,PLCB3	PLCB3,PLCB1,GNAQ,PLCB2,GNA15,FFAR1,GNA14
Mitochondrial calcium ion transport	R-HSA-8949215	-0.6376977434512171	-4.936928026096453	7.936274304398694e-07	0.0009273206065815488	0.0002317465645402805	8	SLC8A3,VDAC1,MICU2,MCU,AKAP1,SLC8B1,VDAC3	MICU1,LETM1,VDAC2,SLC8A3,MICU2,VDAC1,AKAP1,MCU,SLC8B1,MICU3,VDAC3,MCUB
Defensins	R-HSA-1461973	-0.5735244172956993	-4.882540536091692	1.047277012222736e-06	0.0012235183586797578	0.0002317465645402805	12	DEFA4,DEFB130A,DEFA3,DEFB131A,DEFB134,DEFB112,DEFA5,DEFB121,DEFB108B,DEFB1,DEFA1	DEFB116,DEFB103A,DEFB1,DEFA1B,DEFB110,DEFA5,DEFB133,DEFB129,DEFB136,DEFB105A,DEFB108B,DEFB130B,DEFB104A,DEFB113,DEFB127,DEFB124,DEFB135,DEFA1,DEFB106A,DEFB112,DEFB118,DEFB123,DEFB131A,DEFB107B,DEFB107A,DEFB106B,DEFB105B,DEFB132,DEFB130A,DEFB104B,DEFA3,DEFB125,DEFB4B,DEFB128,DEFB126,DEFA6,DEFB115,DEFB119,DEFB134,DEFA4,DEFB103B,DEFB121,DEFB4A
RNA Polymerase III Transcription Initiation From Type 3 Promoter	R-HSA-76071	-0.6228456827167927	-4.87113366173854	1.1095974150610033e-06	0.0012962792011934942	0.0002317465645402805	8	POLR3K,ZNF143,POU2F1,SNAPC2,POLR2F	SNAPC1,SNAPC3,POLR3E,SNAPC2,POLR3H,POLR3C,POLR2F,POU2F1,CRCP,POLR1D,TBP,POLR3A,BDP1,BRF2,ZNF143,SNAPC5,POLR2K,SNAPC4,POLR2H,POLR2E,POLR3D,POLR3F,POLR1C,POLR2L,POLR3K,POLR3GL,POLR3G
mRNA Capping	R-HSA-72086	-0.587860910214924	-4.826762569262087	1.387703979283117e-06	0.0016209119782483613	0.0002317465645402805	10	GTF2H1,GTF2H5,POLR2B,MNAT1,CCNH,ERCC3,CDK7,POLR2F	ERCC3,MNAT1,CCNH,GTF2F1,ERCC2,POLR2I,GTF2H2,GTF2H4,GTF2H5,POLR2F,GTF2H1,SUPT5H,POLR2D,RNMT,POLR2C,POLR2K,CDK7,POLR2H,POLR2E,POLR2A,GTF2F2,POLR2B,POLR2G,POLR2L,GTF2H3,RNGTT,NCBP2,POLR2J
RNA Pol II CTD phosphorylation and interaction with CE	R-HSA-77075	-0.587860910214924	-4.826762569262087	1.387703979283117e-06	0.0016209119782483613	0.0002317465645402805	10	GTF2H1,GTF2H5,POLR2B,MNAT1,CCNH,ERCC3,CDK7,POLR2F	POLR2K,ERCC3,MNAT1,CDK7,POLR2H,CCNH,POLR2E,GTF2F1,ERCC2,POLR2I,POLR2A,GTF2F2,GTF2H2,GTF2H4,GTF2H5,POLR2F,POLR2B,POLR2G,POLR2L,GTF2H1,GTF2H3,RNGTT,SUPT5H,POLR2J,POLR2D,RNMT
RNA Pol II CTD phosphorylation and interaction with CE during HIV infection	R-HSA-167160	-0.587860910214924	-4.826762569262087	1.387703979283117e-06	0.0016209119782483613	0.0002317465645402805	10	GTF2H1,GTF2H5,POLR2B,MNAT1,CCNH,ERCC3,CDK7,POLR2F	POLR2K,ERCC3,MNAT1,CDK7,POLR2H,CCNH,POLR2E,GTF2F1,ERCC2,POLR2I,POLR2A,GTF2F2,GTF2H2,GTF2H4,GTF2H5,POLR2F,POLR2B,POLR2G,POLR2L,GTF2H1,GTF2H3,RNGTT,SUPT5H,POLR2J,POLR2D,RNMT
Post-chaperonin tubulin folding pathway	R-HSA-389977	-0.6106653179340292	-4.764230748800733	1.8957546707998318e-06	0.0022136854870779136	0.00027701715127062543	7	TBCD,TBCB,TBCA,TBCE	TBCC,TUBA4A,TUBB4B,TBCB,TUBA3C,TUBA3D,TUBB3,TUBA3E,ARL2,TUBA8,TBCA,TUBA4B,TUBB4A,TUBB2A,TUBA1A,TUBAL3,TBCE,TUBB1,TBCD,TUBA1B,TUBB2B,TUBB6
Activation of Ca-permeable Kainate Receptor	R-HSA-451308	-0.5991118549637219	-4.713982803737949	2.42921173065902e-06	0.002835723680726467	0.00029955189741613186	7	GRIK4,GRIK1,GRIK3	NCALD,GRIK2,GRIK1,CALM1,GRIK5,DLG3,DLG4,GRIK4,GRIK3
Fatty acyl-CoA biosynthesis	R-HSA-75105	-0.6457498067396926	-4.681063927397048	2.8538992022930643e-06	0.0033306539534324743	0.00029955189741613186	5	FASN,MORC2,SCD5	HTD2,SCD,CBR4,PPT2,ACLY,HSD17B8,SCD5,SLC27A2,MORC2,OLAH,FASN,PPT1
