approvedSymbol	geneId	ID	Term	uniqueDiseases	UMAP 1	UMAP 2	cluster
AARS2	ENSG00000124608	R-HSA-379724;R-HSA-72766	tRNA Aminoacylation;Translation	1	18.514675	8.262327	23
ABCA1	ENSG00000165029	R-HSA-162582;R-HSA-1643685	Signal Transduction;Disease	17	2.5747821	19.228271	35
ABCA4	ENSG00000198691	R-HSA-1643685	Disease	4	-13.125245	-2.9077125	3
ABCA6	ENSG00000154262	R-HSA-74160	Gene expression (Transcription)	8	1.4595155	26.817186	14
ABCB11	ENSG00000073734	R-HSA-1643685	Disease	2	-12.874629	-2.3776307	3
ABCB4	ENSG00000005471	R-HSA-1643685	Disease	7	-12.520004	-3.3237624	3
ABCC2	ENSG00000023839	R-HSA-9754706;R-HSA-1643685	Atorvastatin ADME;Disease	3	5.5244784	-2.1038415	-1
ABCC5	ENSG00000114770	R-HSA-9748787	Azathioprine ADME	1	3.9857051	-0.5543151	-1
ABCC6	ENSG00000091262	R-HSA-1643685	Disease	2	-12.746943	-3.3558908	3
ABCC8	ENSG00000006071	R-HSA-1643685	Disease	5	-13.084731	-2.802031	3
ABCC9	ENSG00000069431	R-HSA-1643685;R-HSA-1296065	Disease;Inwardly rectifying K+ channels	1	11.078083	-2.409574	-1
ABCD1	ENSG00000101986	R-HSA-1643685	Disease	1	-12.991544	-2.623882	3
ABCD4	ENSG00000119688	R-HSA-9758890;R-HSA-1643685	Transport of RCbl within the body;Disease	1	2.1112978	-1.6099795	-1
ABCG1	ENSG00000160179	R-HSA-162582	Signal Transduction	1	5.1721764	-15.178679	10
ABCG2	ENSG00000118777	R-HSA-1660661	Sphingolipid de novo biosynthesis	14	8.50152	27.429722	8
ABCG5	ENSG00000138075	R-HSA-162582;R-HSA-1643685	Signal Transduction;Disease	21	2.3859878	19.05755	35
ABCG8	ENSG00000143921	R-HSA-162582;R-HSA-1643685	Signal Transduction;Disease	30	2.4349174	18.832064	35
ABHD12	ENSG00000100997	R-HSA-162582	Signal Transduction	1	5.3380995	-15.217676	10
ABHD17C	ENSG00000136379	R-HSA-162582	Signal Transduction	11	5.184645	-15.178655	10
ABHD6	ENSG00000163686	R-HSA-162582	Signal Transduction	1	4.842883	-15.262024	10
ABI2	ENSG00000138443	R-HSA-162582;R-HSA-168256;R-HSA-1643685;R-HSA-9006934	Signal Transduction;Immune System;Disease;Signaling by Receptor Tyrosine Kinases	1	11.253379	1.236272	-1
ABL2	ENSG00000143322	R-HSA-162582;R-HSA-1280215;R-HSA-168256;R-HSA-1266738	Signal Transduction;Cytokine Signaling in Immune system;Immune System;Developmental Biology	4	6.0589533	5.3634505	57
ABLIM1	ENSG00000099204	R-HSA-1266738	Developmental Biology	1	-16.545425	6.0825744	5
ABLIM3	ENSG00000173210	R-HSA-1266738	Developmental Biology	3	-15.226585	5.723789	5
ACAN	ENSG00000157766	R-HSA-1643685	Disease	18	-12.948429	-3.3527408	3
ACAT1	ENSG00000075239	R-HSA-1643685	Disease	1	-12.955078	-3.4135003	3
ACAT2	ENSG00000120437	R-HSA-8957322	Metabolism of steroids	1	-7.027864	-6.316468	22
ACE2	ENSG00000130234	R-HSA-2022377;R-HSA-1643685	Metabolism of Angiotensinogen to Angiotensins;Disease	1	9.921325	-0.7250533	-1
ACKR1	ENSG00000213088	R-HSA-162582	Signal Transduction	4	4.8129325	-14.9538765	10
ACO1	ENSG00000122729	R-HSA-917937	Iron uptake and transport	2	8.623164	-9.556903	6
ACO2	ENSG00000100412	R-HSA-9854311;R-HSA-71403	Maturation of TCA enzymes and regulation of TCA cycle;Citric acid cycle (TCA cycle)	1	7.4958873	15.357075	19
ACOT2	ENSG00000119673	R-HSA-9033241	Peroxisomal protein import	1	-5.2281	-0.1429406	0
ACOX3	ENSG00000087008	R-HSA-9033241	Peroxisomal protein import	2	-5.164317	-0.2948381	0
ACP3	ENSG00000014257	R-HSA-168256	Immune System	2	-6.1217184	-22.035217	31
ACSF3	ENSG00000176715	R-HSA-75876;R-HSA-75105	Synthesis of very long-chain fatty acyl-CoAs;Fatty acyl-CoA biosynthesis	5	14.472843	4.770654	27
ACSL1	ENSG00000151726	R-HSA-75876;R-HSA-74160;R-HSA-75105	Synthesis of very long-chain fatty acyl-CoAs;Gene expression (Transcription);Fatty acyl-CoA biosynthesis	2	2.6010795	-0.79775137	-1
ACSL5	ENSG00000197142	R-HSA-75876;R-HSA-75105	Synthesis of very long-chain fatty acyl-CoAs;Fatty acyl-CoA biosynthesis	1	14.293221	4.8134103	27
ACSL6	ENSG00000164398	R-HSA-75876;R-HSA-75105	Synthesis of very long-chain fatty acyl-CoAs;Fatty acyl-CoA biosynthesis	3	14.199713	4.4968615	27
ACTA2	ENSG00000107796	R-HSA-162582	Signal Transduction	2	5.0894084	-15.080657	10
ACTB	ENSG00000075624	R-HSA-162582;R-HSA-168256;R-HSA-1266738;R-HSA-74160;R-HSA-1643685;R-HSA-9006934;R-HSA-597592	Signal Transduction;Immune System;Developmental Biology;Gene expression (Transcription);Disease;Signaling by Receptor Tyrosine Kinases;Post-translational protein modification	5	4.1473804	0.9833396	-1
ACTC1	ENSG00000159251	R-HSA-162582	Signal Transduction	1	5.281404	-14.380908	10
ACTG1	ENSG00000184009	R-HSA-162582;R-HSA-168256;R-HSA-1266738;R-HSA-1643685;R-HSA-445095;R-HSA-437239;R-HSA-3928665;R-HSA-157858;R-HSA-190828;R-HSA-9006934;R-HSA-5663202	Signal Transduction;Immune System;Developmental Biology;Disease;Interaction between L1 and Ankyrins;Recycling pathway of L1;EPH-ephrin mediated repulsion of cells;Gap junction trafficking and regulation;Gap junction trafficking;Signaling by Receptor Tyrosine Kinases;Diseases of signal transduction by growth factor receptors and second messengers	1	5.550779	-0.8998512	-1
ACTN1	ENSG00000072110	R-HSA-162582;R-HSA-9706574	Signal Transduction;RHOBTB GTPase Cycle	5	13.285036	-1.0540375	-1
ACTN2	ENSG00000077522	R-HSA-162582	Signal Transduction	2	5.529352	-14.359396	10
ACTR1A	ENSG00000138107	R-HSA-168256;R-HSA-8856688;R-HSA-597592	Immune System;Golgi-to-ER retrograde transport;Post-translational protein modification	4	9.3357	2.962987	-1
ACTR1B	ENSG00000115073	R-HSA-168256	Immune System	2	-6.14642	-22.00735	31
ACTR2	ENSG00000138071	R-HSA-162582;R-HSA-168256;R-HSA-1266738;R-HSA-1643685	Signal Transduction;Immune System;Developmental Biology;Disease	6	6.1419497	-1.0970137	-1
ACTR5	ENSG00000101442	R-HSA-597592	Post-translational protein modification	2	24.525782	1.6471989	21
ACVR1B	ENSG00000135503	R-HSA-162582;R-HSA-1266738	Signal Transduction;Developmental Biology	2	-12.590714	11.098578	42
