geneId,uniqueDiseases,uniqueTherapeuticAreas,maxEQTLColoc,maxPQTLColoc,maxVEP,maxDistanceTSS,minEffectiveSampleSize,maxEffectiveSampleSize,earliestPublicationDate,cancerOrBenignTumor,infectiousDisease,pregnancyOrPerinatalDisease,disorderOfVisualSystem,cardiovascularDisease,pancreasDisease,gastrointestinalDisease,reproductiveSystemOrBreastDisease,integumentarySystemDisease,endocrineSystemDisease,respiratoryOrThoracicDisease,urinarySystemDisease,musculoskeletalOrConnectiveTissueDisease,disorderOfEar,immuneSystemDisease,hematologicDisease,nervousSystemDisease,psychiatricDisorder,nutritionalOrMetabolicDisease,geneticFamilialOrCongenitalDisease,injuryPoisoningOrOtherComplication,signOrSymptom,other,totalStudies,approvedSymbol,lofConstraint,misConstraint,synConstraint,pathwayCount,tissueSpecificity,tissueDistribution,Term,ID
ENSG00000147883,148,21,1,0,0,1,1622.2610172620696,1424218.0900670097,2007-04-26,90,1,2,76,184,84,4,25,4,2,4,6,1,0,2,1,7,0,5,17,1,1,60,577,CDKN2B,-0.83599997,-1.2127,-0.25674,5,0.5,0.0,Signal Transduction;Generic Transcription Pathway;RNA Polymerase II Transcription;Gene expression (Transcription);SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription;Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer,R-HSA-162582;R-HSA-212436;R-HSA-73857;R-HSA-74160;R-HSA-2173796;R-HSA-2173793
ENSG00000175164,105,20,1,1,1,1,1249.6223436551306,1424218.0900670097,2009-03-10,15,43,1,13,125,15,26,3,2,7,10,0,6,1,5,8,1,0,7,10,0,2,71,371,ABO,-0.416,0.14459,-0.36479,0,0.5,0.0,,
ENSG00000140718,126,19,1,0,0,1,1059.622641509434,1470466.6505612188,2007-04-26,17,11,3,4,43,55,0,0,10,1,15,21,49,0,1,2,11,4,27,12,6,0,47,339,FTO,0.075999975,1.2714,1.0589,1,-1.0,-1.0,DNA Damage Reversal,R-HSA-73942
ENSG00000111252,87,17,1,1,1,1,5504.0130519525,756470.9740366563,2009-05-10,15,5,3,9,44,13,5,0,1,18,8,5,18,0,7,0,2,0,1,21,0,0,18,193,SH2B3,-0.35000002,-3.1608,-2.2235,3,0.5,-1.0,Signal Transduction;Cytokine Signaling in Immune system;Immune System;Signaling by Receptor Tyrosine Kinases,R-HSA-162582;R-HSA-1280215;R-HSA-168256;R-HSA-9006934
ENSG00000130203,107,16,1,1,1,1,613.7793103448275,1778690.168860174,2013-04-04,2,10,0,9,82,18,8,0,0,0,8,1,12,0,0,0,73,1,12,37,1,4,76,354,APOE,-0.319,-1.1323,-1.0559,12,0.75,-1.0,Signal Transduction;Generic Transcription Pathway;RNA Polymerase II Transcription;Gene expression (Transcription);Signaling by Receptor Tyrosine Kinases;Chylomicron assembly;Chylomicron remodeling;HDL remodeling;Plasma lipoprotein remodeling;Post-translational protein modification,R-HSA-162582;R-HSA-212436;R-HSA-73857;R-HSA-74160;R-HSA-9006934;R-HSA-8963888;R-HSA-8963901;R-HSA-8964058;R-HSA-8963899;R-HSA-597592
ENSG00000166949,82,16,1,0,1,1,6762.688254947314,1470466.6505612188,2010-09-23,10,2,0,0,19,3,1,1,3,2,76,4,34,0,5,0,2,0,0,23,0,3,18,206,SMAD3,0.627,4.3603,-0.12651,22,-1.0,-1.0,Signal Transduction;Cytokine Signaling in Immune system;Generic Transcription Pathway;Immune System;RNA Polymerase II Transcription;Developmental Biology;Gene expression (Transcription);Disease;Signaling by Interleukins;TGFBR1 KD Mutants in Cancer;SMAD2/3 Phosphorylation Motif Mutants in Cancer;RUNX3 regulates CDKN1A transcription;Diseases of signal transduction by growth factor receptors and second messengers;SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription;Loss of Function of SMAD2/3 in Cancer;Loss of Function of TGFBR1 in Cancer;Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer;Post-translational protein modification;FOXO-mediated transcription of cell cycle genes;Transcriptional regulation by RUNX3;Formation of definitive endoderm,R-HSA-162582;R-HSA-1280215;R-HSA-212436;R-HSA-168256;R-HSA-73857;R-HSA-1266738;R-HSA-74160;R-HSA-1643685;R-HSA-449147;R-HSA-3656532;R-HSA-3304356;R-HSA-8941855;R-HSA-5663202;R-HSA-2173796;R-HSA-3304349;R-HSA-3656534;R-HSA-2173793;R-HSA-597592;R-HSA-9617828;R-HSA-8878159;R-HSA-9823730
ENSG00000138821,66,15,1,0,1,1,15866.724081734988,1990918.947961699,2014-07-22,1,3,0,0,2,0,3,2,2,0,10,0,33,0,0,0,20,3,5,10,3,6,16,119,SLC39A8,0.398,1.1838,-0.33104,1,0.5,0.0,Zinc transporters,R-HSA-435354
ENSG00000181915,46,15,1,0,1,1,1922.5002600104003,1778690.168860174,2007-04-15,11,1,0,1,7,3,2,0,18,1,10,2,8,0,2,0,6,0,0,35,0,0,8,115,ADO,-0.47599995,-0.74926,-1.9151,1,-1.0,-1.0,,
ENSG00000148737,75,15,1,0,0,1,1375.764534883721,1778690.168860174,2007-04-26,22,5,6,20,19,129,1,0,2,0,0,24,12,0,0,2,10,0,4,5,0,0,25,286,TCF7L2,0.526,1.4156,-2.5135,11,-1.0,-1.0,Signal Transduction;Generic Transcription Pathway;RNA Polymerase II Transcription;Developmental Biology;Gene expression (Transcription);Disease;Diseases of signal transduction by growth factor receptors and second messengers;Regulation of MITF-M-dependent genes involved in cell cycle and proliferation;Formation of the beta-catenin:TCF transactivating complex;Transcriptional regulation by RUNX3;Binding of TCF/LEF:CTNNB1 to target gene promoters;RUNX3 regulates WNT signaling;Formation of definitive endoderm,R-HSA-162582;R-HSA-212436;R-HSA-73857;R-HSA-1266738;R-HSA-74160;R-HSA-1643685;R-HSA-5663202;R-HSA-9825892;R-HSA-201722;R-HSA-8878159;R-HSA-4411364;R-HSA-8951430;R-HSA-9823730
ENSG00000134242,71,15,1,0,1,0,937.7148182665424,466632.7979326389,2007-06-06,13,0,0,7,1,30,2,0,7,32,0,14,50,0,8,1,0,0,3,16,1,0,4,189,PTPN22,0.055999994,1.2355,0.0067992,2,0.5,0.0,Immune System;Phosphorylation of CD3 and TCR zeta chains,R-HSA-168256;R-HSA-202427
ENSG00000176920,43,15,1,0,1,1,4235.94939871935,493614.39488360845,2012-11-01,2,13,0,0,4,4,15,0,0,2,3,3,1,0,2,4,2,0,6,15,0,0,9,85,FUT2,-0.71000004,1.0674,0.68097,3,0.5,0.0,,
ENSG00000112715,47,14,0,0,1,1,6375.502972651605,1778690.168860174,2011-02-06,5,3,0,10,13,17,1,0,0,17,0,4,14,0,1,0,2,0,2,23,0,0,10,122,VEGFA,0.39,0.20402,-0.45845,10,-1.0,-1.0,Signal Transduction;Cytokine Signaling in Immune system;Generic Transcription Pathway;Immune System;RNA Polymerase II Transcription;Gene expression (Transcription);Disease;Signaling by Interleukins;Signaling by Receptor Tyrosine Kinases;Interleukin-4 and Interleukin-13 signaling;Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors,R-HSA-162582;R-HSA-1280215;R-HSA-212436;R-HSA-168256;R-HSA-73857;R-HSA-74160;R-HSA-1643685;R-HSA-449147;R-HSA-9006934;R-HSA-6785807;R-HSA-8864260
ENSG00000125347,43,14,1,0,0,1,10351.48329956029,562534.7696387965,2010-11-21,3,3,0,0,3,1,1,0,4,1,50,3,2,0,4,0,0,0,1,22,0,0,3,101,IRF1,0.46899998,3.1942,0.98151,4,0.5,-1.0,Cytokine Signaling in Immune system;Immune System,R-HSA-1280215;R-HSA-168256
ENSG00000132170,20,14,1,0,0,1,13198.590886237946,1424218.0900670097,2012-09-01,0,0,0,2,1,32,1,0,0,1,1,2,2,0,1,1,2,0,1,3,0,0,3,53,PPARG,0.37199998,3.1059,0.20266,8,0.5,0.0,Signal Transduction;Generic Transcription Pathway;RNA Polymerase II Transcription;Developmental Biology;Gene expression (Transcription);Post-translational protein modification,R-HSA-162582;R-HSA-212436;R-HSA-73857;R-HSA-1266738;R-HSA-74160;R-HSA-597592
ENSG00000164512,39,14,1,0,0,1,2209.8301559792026,1424218.0900670097,2010-05-09,1,0,0,30,4,40,1,1,2,1,0,4,43,0,7,0,3,0,0,7,0,0,3,147,ANKRD55,0.157,0.86195,1.3064,0,0.5,0.5,,
ENSG00000038532,42,14,1,0,0,1,1505.218309859155,574782.4268116049,2007-06-06,9,1,0,1,0,13,4,0,13,0,50,9,2,0,10,0,0,0,1,5,0,1,11,130,CLEC16A,0.361,0.71805,-2.2748,0,-1.0,-1.0,,
